id,regija,podregija,barva,alkohol,zamasek,opis,popularnost
115929,Portugal,Minho,Orange,12.5,Cork,"White wine made from a vineyard of Alvarinho planted above 200 meters of altitude. The vineyard, with more than 15 years, is of low production with high levels of acidity and good maturation. It is an old-fashioned wine with total tanning, with more color and more tannins. Grapes harvested by hand in small boxes and transported to the cellar in a short time. Pelicular maceration followed by total fermentation with the films. Part of the fermentation occurs with the whole bunch not stalked. After fermentation it performs a stage of 6 months in used barrels of 400 liters of French oak with regular battonage.""-Winery

Gold color typical from the skin contact. Strong intensity of aromas, from which stand the caramelized orange peel, citrus flowers and nuts. On the palate, it presents slight tannins flanked by a lively and sharp acidity. Attack of strongly mineral mouth, ending very long, complex and persistent evidencing nuts and citrus.",2328
113605,Loire,Sancerre,Rose,15.5,Cork,"The pink color is obtained by sequential pneumatic pressing whole Pinot Noir grapes. Static settling about 48 hours is carried out at low temperature. Fermentation tank at temperatures between 18 & 22 °C. Ageing on lees for 3 to 4 months. Light fining followed by a tartaric stabilization. Bottling on the property. The dress is a brilliant pale pink. Nose with aromas of red berries, & is straightforward. A beautiful fresh structure with aromas that are perfectly balanced."" - Importer",2282
116719,Burgenland,Neusiedlersee-Hugelland,White,12.0,Screwtop,"Heidi Schröck took over her family winery in 1983, in the historic village of Rust situated in the province of Burgenland about 5 miles from the Hungarian border. As Heidi explains “South-facing vineyards in a softly rolling landscape form an amphitheater around Rust on Lake Neusiedl bringing forth some of the best and most tradition-rich wines in Austria. Yearly hours of sunshine that lie much higher than the Austrian average combined with sandy soils mixed with clay and high calcium content provide the ideal prerequisites for impressive, full-bodied wines. In 2003 Heidi was awarded “Falstaff Vintner of the Year”, making her one of only a handful of women to be obtain this distinction. She re-introduced historic varietals such as muscat-lunel and furmint from Hungary while continuing to work with more classic Austrian varietals such as grauburgunder, weissburgunder, and welschriesling. Heidi is the long-time leader of Cercle Ruster Ausbruch, an organization whose goal is to bring back Ausbruch, a sweet wine reminiscent of Hungary’s Royal Tokaji that had not existed since the phylloxera outbreak in the 19th century. Ausbruch is harvested from botrytised grapes with a must weight between BA and TBA (138 Oechsle) and Heidi’s wine is one of Rust’s iconic examples of this noble sweet wine.",2113
116389,Burgundy,Bourgogne Blanc,White,13.0,Cork,"An excellent value from this amazing producer who farms organically and produces elegant and balanced wines. The Bourgogne Chardonnay sees no new oak and vinified in stainless steel. Rich and elegant, delicate and elegant, this wine expresses slightly honeyed, buttered and white peach flavors, complemented by a white flower note. It is a wine of great precision, simply excellent.",2056
116820,Languedoc,Languedoc,Red,14.0,Screwtop,"A classic Southwest France blend of Carignan, Grenache, Syrah, and Mouvedre that even the producers of the Southern Rhone would envy!  Fresh fruit notes upfront that open up to a earthy and gamey style of red wine.  ",2406
117597,Champagne,Champagne,White,,Cork,,2390
119647,Champagne,Champagne,White,13.0,Cork,,2105
119150,Piedmont,Gavi,White,,Cork,"Bright yellow color, delicate bouquet of dried pineapple and peach. Full and rich in flavor, yet mineral and refreshing. Fine aromatic flavor to the end."" -Importer",2410
118664,Central Valley,Maule,White,13.0,Screwtop,"The Sauvignon Blanc fruit is sourced from long-term growers’ vineyards, all in Central Valley, and the fruit is manually harvested. Pablo Morandé is one of the fathers of winemaking in Chile. His influence has transformed the plantings in the Maipo Valley to be revered and respected around the world. Pablo is rooted in the history of Chilean wine production: being one of the leaders of the team making wines at Concha y Toro, a very well-known Chilean vineyard, and responsible for the release of the critically acclaimed Concha y Toro Melchor (a wine may credit as the benchmark release for Chilean wines around the world). Pablo has been a pioneer in the numerous and progressive advances made recently in the production of Chilean wines. He was the first wine-producer to plant grapes in the Casablanca Valley - now one of the most prestigious Chilean valley appellations, with a climate and growing conditions similar to Somona County in California. In 1982 he planted his first vines in the Valley. He was the first and only vigneron to farm this land for the next 4 years. Today the valley has over 4,000 hectares of vines. Many wineries in the country followed Pablo´s lead, and now produce some of their best wines from the Casablanca Valley."" - Importer",2040
9846,California,California,Rose,13.0,Cork,"In the glass, the color is a dramatic deep pink with a blush of sunset. Intense ripe strawberry, juicy watermelon, and fresh red cherry fruit aromas and flavors are interwoven with apple, pear, and stone fruit. On the palate, the wine is creamy and seductive, with defined structure from the addition of still Pinot Noir at tirage. The overall impression is one of bold vibrancy and impact from start to finish."" -Winery",2369
118759,Bordeaux,Margaux,Red,13.5,Cork,,2386
116862,Spain,Spain,White,12.0,Cork,,2152
69259,New Jersey,New Jersey,Red,13.0,Cork,"Produced in a style for everyday enjoyment, our Old Mill Red is a medium-bodied wine packed with cherry and dried fruit character that finishes soft and velvety.  Old Mill Red is perfect with pasta, grilled foods, or any other full-flavored dishes."" -Winery",2017
117013,Israel,Judean Hills,Red,13.5,Cork,A fruit forward style of Cabernet Sauvignon that does spend some time in oak to give it richness and a little more body.,2447
117436,Pais Vasco,Getariako Txakolina,White,11.0,Cork,"Antxiola pronounced (ahn-cho-la) is a txacoli wine made by Bodegas Zudugarai. The winery was founded in 1989 the same year that the DO of Getaria txakolina was founded. The Errasti family has been growing grapes and making wine from these vineyards for over 40 years working with the local varieties of Hondarrabi Zuri and Hondarrabi Beltza. The vineyards and winery are near the coast line among rolling hills at about 90 meters above sea level. The sunniest and windiest slopes are the ones planted to vines so that the grapes can get ripe and also remain dry and avoid fungal and rot issues. All work in the vineyards is done by hand including harvest. Fermentation takes place naturally in stainless steel tanks over a period of about 20 days. The wine is then bottled while young to retain some of its natural effervescence. ""The name Antxiola refers to a famous fortified home in the nearby town of Orio that was part of the walls fortifying the town. A rendering of that home is on the label of this wine. Admiral Antxiola was one of the most famous owners and written records of the house date back to 1555 - but we know the house is older than that."" - Importer",2294
113997,Veneto,Veneto IGT,Red,14.5,Cork,"A dark, intense red color with a bouquet of violets, blackberries and blueberries. Intense and voluminous on the palate with a long, lingering, plush finish.",2129
103835,Bordeaux,Cadillac,Red,13.0,Cork,"Situation
The vineyard is situated in the Cotes de Bordeaux-Cadillac appellations, and emcompasses 65 hectares. The vines, plantedn in gravel and clay “terroir”, benefit from favorable south-south east facing slopes and plateaus.

Vinification
Grapes are weighted, destemmed then sorted on a table in the cellar. Fermentation in thermo regulated stainless steel tanks.

Tasting
Opulent, fruity and ample in mouth, this wine is attractive both with its blackberry and blackcurrant aromas melted with vanilla hints as well as its nice structure and fresh finish. A great wine. - Winery",2083
110522,California,Mendocino,Red,12.9,Cork,"Aromas of strawberry and raspberry accented with hints of oak spice. This wine is rich with nice soft tannins and flavors of berries, vanilla and spice that fade into a lovely long finish.",2200
120320,Burgundy,Chablis,White,13.0,Cork,"This award winning chablis is an absolute stunning wine.  Notes of cream, chalky soils, tart orchard fruits and shellfish all come together in the glass.  Truly a special wine. ",2345
116040,Tuscany,Brunello di Montalcino,Red,14.0,Cork,"When it comes to Sangiovese, Montalcino is the best appellation in the world for it, on top of being the most collectible style. These wines are full-bodied with plenty of tannin and acid which allow the wines to age for a long time. Notes of big red fruits and earth while young, mellow out into a beautifully balanced and elegant wine. If you want to drink this young, decant for 30 minutes and you will find the wine opening up and expressing more of the natural savory notes. ""The Brunello di Montalcino wine produced by Molino di Sant’Antimo, represents the maximum expression of our products. The carefully selected, pure Sangiovese grapes, during their transformation into wine by the appropriate techniques undergo the constant checks during the long aging process in oak vats. The maximum capacity of 60 Hl. per vat enhances the appreciation of the exceptional qualities of this wine. Its ruby red color, fruity and spicy bouquet, and the harmonious velvety taste, blend to make this wine so particularly elegant and persistent."" - Winery",2257
108847,California,Mendocino,Red,12.3,Cork,"This wine draws you in with alluring aromas of red cherry, violets and geranium blossom
emanating from the glass. On the palate, the wine is layered with rich flavors of cranberry,
huckleberry and rhubarb, with a touch of warm forest floor adding intrigue. The tannins
are velvety, and the finish lingers on and on with notes of currant jelly and spice.
This wine is inviting and pretty in the gentlest of ways. Like a sincere friend that will
always be there for you, she is truly genuine and so very generous.
The cool-climate vineyard site combined with gentle handling at every stage is central to
the core expression of this wine, my goal here is aromatic retention and soft texture.
These heritage Martini clone vines were planted at Hawkeye Ranch in the 1970s by the
Johnsons, the clone selected by the legendary Louis Martini himself, and now quite rare as
most of the older vines have been replanted. This clone thrives here, and the crop load and
vine vigor are naturally balanced, allowing for an organic farming style that promotes
slow, steady fruit maturation. This gives rise to wonderfully delicate, yet highly textured,
full-bodied wine.
The fruit was de-stemmed and the whole berries transferred to open-top fermentation
tanks to cold soak for seven days prior to native fermentation, which allows for delicate
extraction and adds complexity. Gentle extraction was ensured by performing
punchdowns to mix the must, and maintaining moderate temperatures throughout
fermentation. After fermentation, the wine was pressed and sent to barrel, where native
malolactic fermentation was encouraged (by stirring and keeping them cozy). The wine
aged in ~20% new French oak barrels, with the balance in neutral French oak barrels. To
enhance palate weight and mouthfeel, the wine was left in contact with light lees and
gently stirred.
The wine was aged for 12 months in barrel and then receives an additional 12 months of
bottle age before initial release."" -Importer
",2312
120062,Bordeaux,Bordeaux,Red,13.5,Cork,"The vineyard is located in the heart of the Entre-Deux-Mers appellation in the commune of LADAUX. It’s a family property since 5 generations which is among the oldest from Bordeaux. Antoine BARTHE was the creator of this vineyard, buying his first vines in 1894. Between 1894 and 1907, he bought 2.59 hectares which allowed him to live. Henri BARTHE, son of Antoine Barthe, continued this art of living by extending the domain throughout his life. In 1963, Henri Barthe donated the vines to his onw daughter, Marie-Anne Valentine BARTHE and it was his son, Henri Robert MAUBRAC born in 1936 who would continue to live this profession for several years until two new heirs : Marie-Helene MAUBRAC born in 1968 and Christine MAUBRAC born in 1971. Marie-Helene did not choose to make her life as her ancestors but still kept her vineyard shares. On the other hand, her sister Christine, in love with this profession and this life, decided to continue the adventure with her father. In 1989, Marie-Helene married him under the comunal regime with Eric GUERIN, also a Ladocian family who had always dreamed of wine growing. Two years after the death of Henri Robert Maubrac in 1998, Christine Maubrac and Eric Guerin joined by creating EARL Vignobles Maubrac Guerin. At this time, they had only 23 hectares of vines versus almost 75 hectares today. Eric Guerin very invested took his role right away very heart and without waiting enlarged the vineyard considerably with the help of Christine who has always been in the profession. In 1999, the beginning of the sales in bottle was a revelation because today, we sell nearly 450 000 bottles every year. Château PALENE and Château LE FAURE are both made from grapes grown for several years.""
-Winery",2187
69780,Burgundy,Cremant de Bourgogne,White,11.5,Cork,"Our Burgundy partner, Antonin Rodet, has also sourced two stunning sparkling wines from De Perriere. This top producer has been making sparkling wines in the “methode traditionelle” in Burgundy since 1920, at its winery in Charnay-Les-Macon. It was one of the very first houses in the Mâconnais to produce Cremant de Bourgogne, thanks to its years of experience and in-depth understanding of the vinification of the Chardonnay grapes grown on the estate. Today, the company is part of the Boisset “Famille des Grands Vins” group and its sparkling wines are now made at the winery in Nuits St. Georges."" -Importer",2168
115844,California,Central Coast,Red,14.3,Screwtop,"Not just the name, the “Fog” is an essential ingredient in this Pinot Noir. The intrusion of the marine layer over the California coast provides significantly cooler air temperatures enabling the grapes to sustain balancing natural acidity and perfect fruit ripeness. That ideal environment delivers a Pinot Noir that dances on the tongue. Wonderful ruby color and lush fruit flavors abound highlighted by cherry notes. Smooth from start to finish. Elegantly structured and perfectly balanced, The Fog delivers a uniquely fruity Pinot that will surely please. Pairs well with any entree, or just enjoyed on its own."" - Winery",2241
115216,California,Napa,Red,14.8,Cork,"From the small block of iron-rich soil that forms the core of the Marciano Estate Cabernet Sauvignon, the 2016 vintage produced a distinctive wine with impressive power, depth and purity. Estate Cabernet Franc adds further luxuriance to the wine. The Enticing flavors of cherry and cassis complement layered notes of vanilla bean, mocha and blonde tobacco. polished tannins and supple texture frame the wine’s sustained and graceful finish. The 2016 vintage is delicious now with time in a decanter. Those with the patience to cellar their wine will be rewarded, as the 2016 Marciano Estate Cabernet Sauvignon has the structure and balance to age well for decades to come."" - Winery",2304
119931,Veneto,Soave,White,14.5,Cork,"Brilliant straw yellow color with greenish hints; the delicate nose is reminiscent of almond blossoms and marzipan; good depth of fruit on the palate, nicely balanced by a zingy acidity that enhances its long length; It makes an excellent partner for soups, starters, especially vegetable based such as asparagus, peas, courgette, egg-based dishes or seafood and fresh water fish dishes. It is an excellent aperitif, especially when served with simple canapés.  This is the freshest, youngest wine in the Pieropan family range. It is made entirely from fruit grown in their own vineyards situated in the Soave Classico zone and planted only with indigenous grape varieties."" - Winemaker's Notes",2095
118388,Portugal,Vinhos Verdes,White,12.5,Cork,,2353
114171,Champagne,Champagne,Rose,12.5,Cork,"Champagne Valentin Leflaive represents a unique interpretation of champagne and its grape varietals. Made with extreme precision, each cuvée is a veritable celebration of minerality, finesse and complexity. When it comes to French Wine, one of the most recognizable names is Olivier Leflaive. While he remains one of the biggest influences in Burgundy, his Champagne project is no different in Champagne.  The #1 priority of the winery is to show the true character of the terroir where the grapes are grown.   A little bit of oak brings some richness, but overall the wines are built on strong mineral notes and aggressive acidity. The Rose is 100% Pinot Noir, all sourced from the Montagne de Reims. ",2352
114346,California,California,White,13.5,Screwtop,"From the Winemakers' Website: Winemaking: ""Stainless steel fermentation on French & American oak. Winemaker's Notes ""Crisp & clean with golden color & tropical fruit flavors. Pairings: Fish & poultry dishes or on its own on a warm afternoon"".",2094
114899,Bordeaux,Cotes de Francs,Red,13.0,Cork,"The estate is situated on the same plateau as Saint Emilion and Pomerol and sits on the second highest point in the Gironde at 110 meters above sea level (approximately 350 feet).  The vineyards are planted to a number of red varieties, including Merlot (85%), Cabernet Sauvignon (6%), Cabernet Franc (7%) along with a touch of Malbec and Carmenère.  The exclusive white variety is Semillon.  The soil type varies but is principally a mix of clay, silex and limestone, with very high acidity levels.  The average age of the vines is 50 years and no synthetic treatments have ever been used at the estate, which is certified biodynamic. Harvest is manual, the grapes are entirely destemmed and the cuvaison is long, continuing for two to four weeks.  Only indigenous yeast is utilized, no chapitalisation is done nor is SO2 used during the fermentation.  The “elevage” of the Le Puy wines is done according to the lunar rhythm.  The two essential red cuvées of the estate, “Emilien” and “Barthelemy” are raised in barrel for 24 months.  The wines are neither fined nor filtered before bottling.  Jean-Pierre Amoreau and his son, Pascal, oversee the vineyards and vinification.""
-Importer",2240
112511,California,California Kosher,White,14.0,Cork,Exhibits all of the elegant characteristics of the varietal grown in this renowned Appellation with top notes of citrus & tropical fruit,2305
114153,California,Napa,Red,15.2,Cork,"Pure inky garnet in the glass, the aromatics of plum compote, wild blackberries, crushed gravel, peanut brittle & Tahitian vanilla emanate. Massive on the entry, the mid-palate is diverse with flavors of dark plums, black pepper, Amarena cherries, slow-roasted Moroccan lamb & a marbled leather texture. Rich, enveloping & vivacious, the wine finishes with perpetuating energy & length—not to mention the satisfying tannins that rouse a desire for more. Sourced from all over the state, Machete is a culmination of bird - dogging some of the best Petite Sirah, Grenache & Syrah vineyards that produce rich & flavorful fruit. Blind tasted to determine quality, the lots that make the Machete cut—pun intended— are qualified to be one with the family of labels.
<br>
-- Winery",2186
114101,Abruzzi,Abruzzo IGT,White,13.5,Cork,"Intense straw yellow, delicate scents of jasmine, white peach and golden apple to the nose. Warm and smooth in the mouth, with a finish where mineral hints and a slight touch of fresh mint stand out."" - Winery",2169
115940,Portugal,Alentejo,White,14.0,Cork," A fresh and citrusy Portuguese wine from Esporão's certified organic vineyards, this has touches of lime flower/leaf on the nose, creamy texture, and crisp finish.",2256
117857,Piedmont,Barolo,Red,,Cork,,2313
113151,Washington,Washington,Red,14.1,Cork,,2201
120231,Castille and Leon,Ribera del Duero,Red,14.5,Cork,,2344
117650,South Island,Marlborough,White,,Screwtop,"A vibrant, crisp Sauvignon Blanc with a bouquet that includes Gooseberries & lush tropical fruit and a palate including ripe Gooseberries, green gage plums, and tropical fruits with a slight hint of oak. ",2128
118105,Niederosterreich-Lower Austria,Kamptal,White,13.0,Screwtop,"A very pretty wine with aromas of apple, lemon, minerals, pepper, and slate. Medium-plus body with exceptional balance and flavors of Meyer lemon and citrus zest, alongside more minerals a a lovely salinity. Bright, fresh, and vibrant, with a long finish."" -Importer",2082
120168,Burgenland,Mittelburgenland,Red,12.5,Cork,"David Schildknecht, the Austrian specialist for Robert Parker's Wine Advocate, describes Roland Velich and his Moric wines this way: ""Roland Velich is no longer working with his brother Heinz at the family estate in Apetlon, but is pursuing his own dream, working with old vines in the heart of Blaufrankisch country Mittelburgenland, specifically Lutzmannsburg and Neckenmarkt"". His are wines in a style you will not encounter anywhere else in Austria: Blaufrankisch vinified as if it were Grand Cru Burgundy, and from hillsides (including terraces) and pre-clonal vines the like of which you will not find being cultivated in most of Mittelburgenland. One sip is an Oz experience. From his dreams, to his vines, to his vinification, to his retro label, Velich is in a world of his own.
<br>
-- Importer",2295
117053,South Island,Marlborough,White,13.0,Screwtop,"The vision of three young Australians who met at University, each sharing a passion for wine: Ant Moore, Matthew Farrah and Simon Rees. Friends over the many years, they have planted vineyards in Marlborough New Zealand, the Pear Tree Wines aims to deliver wine styles that are unique, memorable and consistent, with the best value-quality proposition. High altitude, low yielding with harsh climates and clay based soils that naturally restrict vigor. Resultant wines generally more restrained with minerality and complexity.
<br>
-- Winery",2153
119066,Port,Late Bottle Vintage,Red,,Screwtop,"Very deep purple black with a narrow magenta rim. The nose is tight, with impressive depth and background, suggesting a wine with plenty still to give. The base of brooding dark berry fruit is laced with liquorice and dark chocolate. Fleeting balsamic, plummy notes emerge as the nose gradually opens up. On the palate, the wine has exceptional weight and volume, supported by a mesh of thick, dense tannins.<br>

Luscious blackberry jam and plum flavours surge through into a seemingly endless finish. A powerful and uncompromising Unfiltered Late Bottled Vintage retaining every ounce of aroma and flavour."" - Winery",2016
120338,Mosel,Mosel,White,7.5,Cork,"Today, Johannes Selbach and his wife Barbara, with the increasing help of son Sebastian and daughter Hannah, manage their vineyards and winery with passion and respect for the estate’s long held traditions. 55% of their 24 hectares of vines are on their original rootstocks, in Zeltinger Himmelreich, Schlossberg, and Sonnenuhr; Wehlener Sonnenuhr; and, Graacher Himmelreich and Domprobst. These vineyards of weathered Devonian slate are on a steep, contiguous slope facing south-south west and represent some of the most prestigious sites in all of the Middle Mosel, in fact 85% of the Selbach’s vines are on steep slopes. The Selbach family’s heritage in the wine business dates to 1660: Selbach’s ancestors shipped wines down the Mosel in their own ships, the wine carried in oak barrels made by cooper Matthias Oster, the great-grandfather on the paternal side of the family. Thus, the winery developed as both a top estate producing some of the region’s best wine, and also as a négociant and brokerage firm, consolidating the production of smaller growers. The hallmark of the estate are 3 old parcels that Selbach-Oster harvests en-bloc; or, as single pickings, with no selections pulled from the vineyard prior to harvesting. The Rotlay (in the Zeltingen Sonnenuhr, rich in iron ore), the Schmitt (in the Zeltingen Schlossberg), and the Anrecht (in the Zeltingen Himmelreich) are all old parcels high on their respective slopes and post trained on their original rootstock. Typically, Auslese is selected by successive passes through the vineyard—picking fruit for Kabinett and Spätlese first and leaving the healthiest berries on the vine to concentrate. For the en-bloc wines selection of this type is avoided, in order to maintain a holistic flavor profile that contains that of ultra-ripe grapes, optimally ripe, and of lesser-ripe ones which has the ability to reflect a complete terroir of both place and moment. Because his approach in winemaking is minimal, Johannes Selbach will allow his wines to ferment naturally, as slow or as complete as manifest, resulting in dry wines in some vintages and fruity in others.
<br>
-- Importer",2368
114333,Burgundy,Corton,Red,13.0,Cork,"A great wine and bargain that is just yards from the Grand Cru on the Corton Hill.  The wine comes from over 50yr old vines and vinified in new French oak for 16 months.  A truly excellent example of classic Burgundy.  This red shows off and shows out with sappy raspberry fruit, loads of spice cake, cola, thyme and pepper. This is great Pinot with the bones to age through 2029, but elegant enough to really enjoy now.",2387
115004,Washington,Columbia Valley,Red,13.5,Screwtop,"Diverse layered aromatics of black cherry, blackberries, and cassis lead into a touch of cedar and sage on the nose. With dense flavors of cassis, cherry, and cocoa that linger on the complex palate, this wine has lush dusty tannins that are balanced by a nice touch of oak and spice on the finish. This is a very opulent and layered Merlot that you would expect from this world-class growing region."" - Winery",2104
24950,Sicily,Marsala,White,18.0,Screwtop,"Dark amber, with hints of dates and apricots; sweet, full, warm and harmonic with an elegant, dried fruit finish. The Marsala of choice for fish, poultry and meat preparation. An elegant after-dinner wine."" -Importer's Notes",2411
118647,Loire,Loire,White,11.5,Cork,"This delicious Dry Chenin Blanc would fall into the “clean natural” wine category. Practicing both organic and bio-dynamic farming and vinified with very little sulfur. Nicolas Reau has 7 hectares located in Anjou. There's great richness and texture to the wine, offering loads of honeysuckle, lemon zest, and exotic fruit notes. Brilliant acidity and stony minerals lead to a clean, dry finish. This is an excellent example of classic Chenin Blanc from the Loire Valley. Very versatile white that is great right out of the bottle, but will evolve nicely over several days open."" -Importer",2041
119537,Rhone,Vacqueyras,Red,14.0,Cork,,2391
114004,Israel,Golan Heights,Red,13.0,Cork,"From the Importers' Website: Layers of oak, dark berry, & spice are supported by soft tannins & focused acidity. Pair with Medium flavored grilled or sauced chicken. Mevushal. Kosher Supervision: OK",2112
112848,Alsace,Alsace,White,14.0,Cork,,2057
